Ad account name,Campaign name,Ad set name,Ad name,Page ID,Post Id,Object Story ID
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - September 2025,Lease End Customer Testimonial 1 - Unaware - Post ID,109798874815594,615713334353078,109798874815594_615713334353078
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - July 2025,Sad Goodbyes - Top Copy,109798874815594,741408138450263,109798874815594_741408138450263
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - September 2025,Lease Buying Explained - Unaware - Post ID,109798874815594,601092019148543,109798874815594_601092019148543
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - September 2025,Sad Goodbyes - Top Copy,109798874815594,741408031783607,109798874815594_741408031783607
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - September 2025,Stressful Buyout Carousel - Problem Aware,109798874815594,727686126489131,109798874815594_727686126489131
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - September 2025,Explore Your Options - Unaware,109798874815594,625379066719838,109798874815594_625379066719838
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - June 2025,Lease End Customer Testimonial 1 - Unaware - Post ID,109798874815594,615713334353078,109798874815594_615713334353078
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - August 2025,No Goodbyes Man Static - Lower Payment,109798874815594,727701656487578,109798874815594_727701656487578
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - June 2025,Lease Buying Explained - Unaware - Post ID,109798874815594,601092019148543,109798874815594_601092019148543
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - June 2025,Explore Your Options - Unaware,109798874815594,625379066719838,109798874815594_625379066719838
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - August 2025,Lease End Customer Testimonial 1 - Unaware - Post ID,109798874815594,615713334353078,109798874815594_615713334353078
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - July 2025,Stressful Buyout Carousel - Problem Aware,109798874815594,639669271957484,109798874815594_639669271957484
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - August 2025,Lease Buying Explained - Unaware - Post ID,109798874815594,601092019148543,109798874815594_601092019148543
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - July 2025,No Goodbyes Man Static - Lower Payment,109798874815594,704780325446378,109798874815594_704780325446378
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - August 2025,Stressful Buyout Carousel - Problem Aware,109798874815594,727686126489131,109798874815594_727686126489131
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - July 2025,Explore Your Options - Unaware,109798874815594,625379066719838,109798874815594_625379066719838
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - August 2025,Explore Your Options - Unaware,109798874815594,625379066719838,109798874815594_625379066719838
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - July 2025,Lease End Customer Testimonial 1 - Unaware - Post ID,109798874815594,615713334353078,109798874815594_615713334353078
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - June 2025,Stressful Buyout Carousel - Problem Aware,109798874815594,639669271957484,109798874815594_639669271957484
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - July 2025,Lease Buying Explained - Unaware - Post ID,109798874815594,601092019148543,109798874815594_601092019148543
Lease End,Meta | TOF | Facebook | Estimates | Scale,Facebook - L2,Shawn Ad,109798874815594,720869840504093,109798874815594_720869840504093
Lease End,Meta | TOF | Facebook | Estimates | Scale,Facebook - L2,Javuan Ad - Post ID,109798874815594,737008165556927,109798874815594_737008165556927
Lease End,Meta | TOF | Facebook | Estimates | Scale,Facebook - L2,No Goodbyes Man Static - Lower Payment - Post ID,109798874815594,651260367465041,109798874815594_651260367465041
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - May 2025,The Guide - Script 6,109798874815594,735740779016999,109798874815594_735740779016999
Lease End,Meta | Credit Bureau Lists | Estimates,Facebook - Credit Bureau List - May 2025,Lease Buying Explained - Unaware - Post ID,109798874815594,601092019148543,109798874815594_601092019148543
Lease End,Meta | TOF | Facebook | Estimates | Test,Facebook - L2,Omar Ad,109798874815594,732257106032033,109798874815594_732257106032033
Lease End,Meta | TOF | Facebook | Estimates | Test,Facebook - L2,Why Drivers Don't Know About Lease Buyouts - Unaware,109798874815594,651276677463410,109798874815594_651276677463410
Lease End,Meta | TOF | Facebook | Estimates | Test,Facebook - L2,Get Out of the Leasing Cycle - Unaware,109798874815594,649117754345969,109798874815594_649117754345969
Lease End,Meta | TOF | Facebook | Estimates | Test,Facebook - L2,Real Idaho People - Aware,109798874815594,616484844275927,109798874815594_616484844275927
Lease End,Meta | TOF | Facebook | Estimates | Test,Facebook - L2,3 Hidden Fees - Unaware,109798874815594,601091969148548,109798874815594_601091969148548
Lease End,Meta | TOF | Facebook | Estimates | Test,Facebook - L2,Who is Lease End - Aware,109798874815594,616435400947538,109798874815594_616435400947538
Lease End,Meta | TOF | Facebook | Estimates | Test,Facebook - L2,Pregnancy Ad,109798874815594,724869800104097,109798874815594_724869800104097
Lease End,Meta | TOF | Facebook | Estimates | Test,Facebook - L2,The Current Lease Market - Unaware,109798874815594,651276684130076,109798874815594_651276684130076
Lease End,Meta | TOF | Facebook | Estimates | Test,Facebook - L2,3 End-Of-Lease Options - Unaware,109798874815594,698416469416097,109798874815594_698416469416097
Lease End,Meta | TOF | Facebook | Estimates | Test,Facebook - L2,Shawn Ad,109798874815594,720869840504093,109798874815594_720869840504093
Lease End,Meta | TOF | Facebook | Estimates | Test,Facebook - L2,Lease Buying Explained - Unaware - Post ID,109798874815594,601092019148543,109798874815594_601092019148543
Lease End,Meta | TOF | Facebook | Estimates | Scale,Facebook - L2,Pregnancy Ad,109798874815594,724869800104097,109798874815594_724869800104097
Lease End,Meta | TOF | Facebook | Estimates | Scale,Facebook - L2,Lease Buying Explained - Unaware - Post ID,109798874815594,601092019148543,109798874815594_601092019148543
Lease End,Meta | TOF | Facebook | Estimates | Scale,Facebook - L2,3 End-Of-Lease Options - Unaware,109798874815594,698416469416097,109798874815594_698416469416097
Lease End,Meta | TOF | Facebook | Estimates | Scale,Facebook - L2,Omar Ad,109798874815594,720045907253153,109798874815594_720045907253153
